Point ID,PartitionId,Points_0,Points_1,Points_2,Points_Magnitude
127,128,489033,-1.3694e+06,967.981,1.4541e+06
128,129,466061,-1.41371e+06,466.136,1.48855e+06
129,130,614006,-1.2829e+06,1191.29,1.42226e+06
130,131,625424,-1.40935e+06,1075.66,1.54189e+06
134,135,543697,-1.46515e+06,907.344,1.56278e+06
157,158,423012,-1.22373e+06,1273.18,1.29478e+06
158,159,395003,-1.2976e+06,481.747,1.35639e+06
159,160,363773,-1.14468e+06,-125.096,1.20109e+06
160,161,395131,-1.16786e+06,408.886,1.2329e+06
161,162,429840,-1.12995e+06,571.185,1.20895e+06
162,163,385243,-1.08191e+06,100.072,1.14845e+06
164,165,317985,-1.06564e+06,-199.5,1.11207e+06
167,168,390677,-968984,-323.731,1.04478e+06
168,169,348531,-958678,69.2202,1.02007e+06
169,170,323446,-998164,-192.077,1.04926e+06
170,171,357398,-1.01788e+06,-163.913,1.07881e+06
171,172,418525,-1.02263e+06,901.379,1.10496e+06
172,173,519288,-1.09469e+06,1114.67,1.21162e+06
173,174,468940,-928244,541.808,1.03997e+06
174,175,420888,-885954,303.996,980847
175,176,279388,-758185,681.981,808024
176,177,248824,-789459,-56.5133,827743
177,178,195190,-791576,158.611,815286
178,179,275438,-678524,1326.82,732300
179,180,361777,-817734,1223.62,894189
180,181,316835,-895252,219.564,949663
181,182,258823,-846885,145.823,885553
182,183,365204,-671555,1158.43,764435
190,191,256192,-945562,-161.289,979654
207,208,94244.3,-793524,-194.109,799101
208,209,161929,-734504,388.82,752142
209,210,115579,-716648,19.4719,725908
210,211,177218,-645363,1433.5,669255
211,212,107910,-636888,859.868,645965
212,213,87410.2,-685329,-96.5267,690881
213,214,35733.3,-658579,233.754,659547
215,216,-30064,-592607,377.56,593369
216,217,-917.881,-627198,280.531,627199
219,220,5344.61,-491321,2004.6,491354
221,222,107358,-557504,1303.8,567749
222,223,146396,-396057,1611.19,422251
