Point ID,PartitionId,Points_0,Points_1,Points_2,Points_Magnitude
31,32,-1.51835e+06,-599359,-298.741,1.63236e+06
32,33,-1.53644e+06,-564396,-121.274,1.63682e+06
33,34,-1.57304e+06,-628363,-45.3677,1.6939e+06
34,35,-1.57544e+06,-587369,3.98597,1.68138e+06
35,36,-1.45491e+06,-603881,-212.22,1.57526e+06
36,37,-1.48694e+06,-610481,-440.352,1.60738e+06
37,38,-1.51551e+06,-537921,-183.037,1.60814e+06
38,39,-1.49006e+06,-567739,24.0776,1.59456e+06
39,40,-1.39931e+06,-656746,215.172,1.54577e+06
40,41,-1.4234e+06,-712089,99.8868,1.59158e+06
41,42,-1.4623e+06,-653560,-417.823,1.60171e+06
42,43,-1.483e+06,-677615,-105.085,1.63048e+06
43,44,-1.5177e+06,-673377,-157.011,1.66037e+06
44,45,-1.50412e+06,-635996,-335.822,1.63306e+06
46,47,-1.56873e+06,-687012,-58.1344,1.71257e+06
47,48,-1.46822e+06,-436286,-339.779,1.53167e+06
48,49,-1.47078e+06,-479559,-331.36,1.54699e+06
49,50,-1.51772e+06,-470652,-412.786,1.58902e+06
50,51,-1.5116e+06,-499441,-273.768,1.59198e+06
51,52,-1.57254e+06,-439055,-163.905,1.63268e+06
52,53,-1.56482e+06,-467064,-111.662,1.63304e+06
53,54,-1.5484e+06,-409053,-270.904,1.60152e+06
54,55,-1.52859e+06,-445028,-346.138,1.59205e+06
55,56,-1.27291e+06,-634214,327.667,1.42215e+06
56,57,-1.28347e+06,-704750,495.347,1.46423e+06
57,58,-1.36742e+06,-591514,229.048,1.48987e+06
58,59,-1.45334e+06,-516814,-215.547,1.5425e+06
59,60,-1.25361e+06,-535255,-0.763669,1.3631e+06
60,61,-1.17069e+06,-656084,308.6,1.342e+06
61,62,-1.12406e+06,-471636,167.786,1.219e+06
62,63,-1.17467e+06,-494557,127.688,1.27454e+06
896,897,-1.17243e+06,-21437.1,830.776,1.17263e+06
908,909,-1.55648e+06,-91625.7,-319.279,1.55917e+06
909,910,-1.58973e+06,-168620,-314.529,1.59865e+06
910,911,-1.5664e+06,-210082,-458.301,1.58042e+06
911,912,-1.59884e+06,-222375,-311.74,1.61423e+06
912,913,-1.15715e+06,-331457,56.0043,1.20369e+06
913,914,-1.26787e+06,-255367,-145.716,1.29333e+06
914,915,-1.50603e+06,-235947,-240.572,1.5244e+06
915,916,-1.35622e+06,-60798.1,-110.859,1.35758e+06
916,917,-1.58308e+06,-329846,-261.635,1.61707e+06
917,918,-1.55238e+06,-358672,-227.883,1.59327e+06
918,919,-1.57822e+06,-267920,-354.963,1.6008e+06
919,920,-1.55751e+06,-292766,-177.139,1.58478e+06
920,921,-1.60335e+06,-262420,-397.244,1.62468e+06
921,922,-1.61731e+06,-305096,-203.84,1.64583e+06
922,923,-1.65793e+06,-259397,24.3036,1.6781e+06
923,924,-1.65949e+06,-322695,-104.285,1.69057e+06
